url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://polymage.gumroad.com/l/batpack,ktbrc,Batpack,PolyMage,https://polymage.gumroad.com,2.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/bags
https://polymage.gumroad.com/l/rwings,gzwuy,Rainbow Wings,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/wings
https://polymage.gumroad.com/l/tricksterhalfmask,txmnep,Trickster Half Mask,PolyMage,https://polymage.gumroad.com,3.00,False,False,,0,0.0,,18,84,3d/3d-assets/accessories/masks
https://polymage.gumroad.com/l/zvdqk,zvdqk,10x Horn Set 3,PolyMage,https://polymage.gumroad.com,8.00,False,False,,0,0.0,,18,84,3d/3d-assets/avatar-components/horns
https://pouchyyboi.gumroad.com/l/bbjog,bbjog,Axolotl Aquarium BackPack [ACCESSORY],P̶ ̶O̶ ̶U̶ ̶C̶ ̶H̶ ̶Y̶,https://pouchyyboi.gumroad.com,15.00,False,False,,4,5.0,,24,61,3d/3d-assets/accessories/bags
https://practiceofthepractic.gumroad.com/l/privatepractice,SmiWB,Private Practice Start-Up Package ,Practice of the Practice,https://practiceofthepractic.gumroad.com,499.00,False,False,,0,0.0,,7,22,audio
https://principalforms.gumroad.com/l/details-matter,ptlisp,Blender Kitbash Pack,Principal Forms,https://principalforms.gumroad.com,50.00,False,False,,13,5.0,,,,3d/3d-assets
https://prochitecture.gumroad.com/l/blender-osm,jefmy,"Blosm for Blender: Google 3D cities, OpenStreetMap, terrain",Prochitecture,https://prochitecture.gumroad.com,0.00,True,False,,1499,4.9,,,,3d/3d-assets/blender
https://productivesetups.gumroad.com/l/headquarters,hpqcg,Headquarters Notion Productivity Template,Productive Setups,https://productivesetups.gumroad.com,79.00,False,False,,194,5.0,,36,622,3d
https://professorneo.gumroad.com/l/zezke,zezke,TimeMachine,Professor Neo,https://professorneo.gumroad.com,69.99,False,False,,4,5.0,,,,films
https://projectnextrace.gumroad.com/l/fr26,uvlce,FR26 - BeamNG.drive vehicle mod,PROJECTNEXTRACE,https://projectnextrace.gumroad.com,5.50,False,False,,31,4.3,,6,27,gaming
https://promptgeek.gumroad.com/l/renderzeroanimate,tjnsrz,RenderZero Animate - LIFETIME ACCESS,PromptGeek,https://promptgeek.gumroad.com,39.99,False,False,,5,4.8,,6,486,films
https://promptgeek.gumroad.com/l/renderzerostudio,dmxqw,RenderZero AI Studio - AI Image and Video Generation  LIFETIME ACCESS,PromptGeek,https://promptgeek.gumroad.com,39.99,False,True,2220,110,4.7,20.18,6,381,photography
https://protojeb.gumroad.com/l/sabreanfacemask,wasem,Facemask for Sabrean The Shark,protojeb,https://protojeb.gumroad.com,5.00,False,False,,3,5.0,,,,3d/3d-assets/accessories/masks
https://psychecyclops.gumroad.com/l/retro-backpacks,vqijn,👾 Retro Ita Backpacks [Universal] 🎒 inspired by Furality Ultra,PsycheCyclops,https://psychecyclops.gumroad.com,5.00,False,False,,3,5.0,,3,28,3d/3d-assets/accessories
https://psychecyclops.gumroad.com/l/retro-backpacks-pack2,eiswa,👾 Retro Ita Backpacks [Universal] - Pack #2 🎒 inspired by Furality Ultra | Universal Asset,PsycheCyclops,https://psychecyclops.gumroad.com,5.00,False,False,,0,0.0,,4,31,3d/3d-assets/accessories/bags
https://purenoise.gumroad.com/l/sfvxa,sfvxa,Raw to Refined - A Step-by-Step Guide to Mixing and Mastering,Pure Noise Audio,https://purenoise.gumroad.com,29.99,False,False,,43,5.0,,,,music-and-sound-design
https://purgatorialgarden.gumroad.com/l/eclipse,sbazmw,eclipse by PurgatorialGarden,PurgatorialGarden,https://purgatorialgarden.gumroad.com,35.00,False,False,,10,4.6,,,,music-and-sound-design
https://pursuit0852.gumroad.com/l/etghrb,etghrb, Affections Wings and Badge with VFX [SERVER FREEBIE],Pursuit,https://pursuit0852.gumroad.com,0.00,True,False,,0,0.0,,4,15,3d/3d-assets/accessories/wings
